user_id_new	original_uid
0	1151
1	2880
2	8398
3	8624
4	8723
5	9604
6	12138
7	14347
8	18262
9	19606
10	20136
11	21910
12	22501
13	23552
14	23696
15	24151
16	24438
17	25139
18	26678
19	26986
20	27183
21	27366
22	27442
23	27893
24	28859
25	29019
26	30860
27	30948
28	31261
29	33359
30	33416
31	36348
32	36638
33	37484
34	37716
35	38071
36	38255
37	39569
38	39664
39	39771
40	41031
41	41262
42	42303
43	43915
44	44463
45	44483
46	44692
47	44964
48	45226
49	45252
50	45715
51	46401
52	47391
53	47495
54	47856
55	49451
56	49454
57	49722
58	50419
59	50845
60	51396
61	51428
62	51491
63	51754
64	53426
65	53891
66	54082
67	54150
68	54489
69	55303
70	55465
71	55765
72	55768
73	56017
74	56111
75	57207
76	57379
77	57643
78	57729
79	57903
80	58935
81	59116
82	59133
83	59362
84	60634
85	61193
86	61456
87	62060
88	62215
89	63272
90	63535
91	63719
92	63913
93	64078
94	65015
95	65397
96	66173
97	66486
98	67325
99	68791
100	69649
101	69766
102	69809
103	70916
104	71132
105	71664
106	71723
107	72121
108	72563
109	72639
110	73353
111	74319
112	74708
113	74896
114	75059
115	75091
116	75608
117	75738
118	76194
119	76571
120	76707
121	76750
122	76790
123	77236
124	77381
125	77464
126	77780
127	78271
128	78501
129	78735
130	78805
131	79174
132	79266
133	79933
134	80255
135	80790
136	83134
137	83169
138	83865
139	83973
140	84631
141	84926
142	85675
143	86531
144	86577
145	86766
146	87408
147	87575
148	87695
149	87731
150	88884
151	89467
152	89914
153	90229
154	90331
155	90939
156	91339
157	92305
158	92598
159	92747
160	92863
161	93973
162	94096
163	94245
164	94825
165	94835
166	95318
167	95508
168	95903
169	96352
170	96400
171	97246
172	97857
173	99544
174	99707
175	99730
176	101349
177	101974
178	102038
179	102104
180	102940
181	103373
182	103880
183	104758
184	106971
185	108366
186	108437
187	108829
188	109637
189	110217
190	110232
191	110368
192	110851
193	111231
194	111371
195	112083
196	112314
197	112487
198	113260
199	114371
200	114458
201	115711
202	116571
203	116607
204	116627
205	116961
206	117453
207	118350
208	118780
209	119078
210	119587
211	121693
212	123311
213	123716
214	123889
215	125096
216	125635
217	127479
218	128252
219	128784
220	130270
221	130277
222	130579
223	132526
224	132796
225	133708
226	134219
227	134728
228	135503
229	135659
230	136181
231	137743
232	137877
233	137952
234	138751
235	138936
236	139042
237	141367
238	141634
239	142518
240	143636
241	143977
242	143980
243	144018
244	144827
245	145590
246	146737
247	147874
248	149635
249	149814
250	149935
251	150233
252	152039
253	155878
254	156593
255	157536
256	158260
257	158332
258	158385
259	158637
260	158884
261	159110
262	159714
263	159754
264	161315
265	161863
266	161919
267	162035
268	162179
269	162468
270	164320
271	164461
272	165482
273	165606
274	166282
275	168378
276	169280
277	169471
278	170006
279	170388
280	172211
281	172594
282	172622
283	172862
284	172987
285	173336
286	173522
287	173976
288	174879
289	175264
290	176381
291	176447
292	176461
293	176670
294	176795
295	177470
296	177607
297	177986
298	178620
299	179337
300	179372
301	179960
302	180629
303	180843
304	180845
305	181384
306	181838
307	181897
308	182170
309	182246
310	182396
311	182849
312	184065
313	184726
314	184883
315	185216
316	185248
317	185433
318	185865
319	185898
320	186110
321	186188
322	187066
323	187183
324	187670
325	188451
326	188569
327	189322
328	189325
329	189473
330	189486
331	189689
332	189714
333	190799
334	191432
335	193104
336	193182
337	194186
338	195800
339	195993
340	196329
341	197123
342	197528
343	197880
344	198200
345	198787
346	199323
347	200015
348	200119
349	200253
350	201395
351	201869
352	202046
353	204798
354	204861
355	205078
356	205287
357	205922
358	206408
359	207270
360	207474
361	207517
362	207839
363	208992
364	209099
365	209357
366	209608
367	211199
368	211549
369	211696
370	211805
371	212944
372	213030
373	213310
374	213604
375	214050
376	215105
377	215284
378	215909
379	217142
380	217720
381	217749
382	218151
383	219541
384	220810
385	221875
386	221902
387	222412
388	222475
389	223194
390	224284
391	224578
392	224965
393	225944
394	226356
395	227851
396	228133
397	228221
398	230030
399	231765
400	231919
401	231920
402	232659
403	232953
404	233035
405	233447
406	233865
407	234122
408	234864
409	235699
410	235754
411	235959
412	236681
413	238783
414	239871
415	240348
416	241691
417	241812
418	242364
419	242737
420	243159
421	243190
422	243271
423	243536
424	243820
425	244144
426	244252
427	244261
428	244420
429	245249
430	246609
431	247229
432	247658
433	247792
434	247805
435	248107
436	248296
437	248437
438	248468
439	248954
440	249237
441	249490
442	249593
443	249652
444	249785
445	250227
446	250424
447	250828
448	250980
449	251059
450	252506
451	253035
452	254518
453	254987
454	255624
455	255994
456	256539
457	256774
458	258261
459	258632
460	259243
461	259387
462	260107
463	260120
464	262516
465	263439
466	264265
467	264480
468	265176
469	265252
470	265297
471	265673
472	265775
473	265802
474	267174
475	267218
476	267420
477	267810
478	267987
479	268680
480	268697
481	268779
482	270001
483	270151
484	270323
485	270722
486	271196
487	271946
488	272246
489	272998
490	273100
491	273381
492	274823
493	275181
494	275434
495	275761
496	275983
497	276858
498	277031
499	277416
500	277643
501	278394
502	283825
503	283846
504	283853
505	284172
506	284536
507	284714
508	285233
509	285438
510	286484
511	286540
512	287397
513	288177
514	288214
515	288311
516	289827
517	290901
518	293140
519	293346
520	294353
521	295212
522	296008
523	297169
524	297245
525	297255
526	297362
527	297981
528	298779
529	299928
530	299998
531	300883
532	301141
533	302033
534	302098
535	302376
536	302574
537	302736
538	302745
539	302766
540	303762
541	304586
542	304827
543	305545
544	306401
545	307100
546	307344
547	307367
548	307669
549	307878
550	308016
551	308377
552	309089
553	309604
554	310920
555	311280
556	311760
557	312258
558	312632
559	313758
560	314028
561	315412
562	315966
563	316227
564	316959
565	317625
566	317643
567	318181
568	318311
569	318965
570	319461
571	319613
572	319742
573	320345
574	320425
575	321352
576	321442
577	322544
578	322571
579	322864
580	323484
581	323709
582	323741
583	323782
584	323951
585	325372
586	325777
587	326180
588	326511
589	327493
590	327934
591	328301
592	328897
593	329018
594	329337
595	329394
596	330465
597	331446
598	332600
599	332696
600	332970
601	333791
602	333959
603	334297
604	334459
605	334606
606	334624
607	334910
608	335175
609	335240
610	335457
611	336660
612	337463
613	337959
614	338514
615	338842
616	340321
617	340627
618	340773
619	340965
620	341224
621	342571
622	342629
623	343628
624	343835
625	343999
626	344883
627	345592
628	346860
629	347284
630	347298
631	347829
632	347867
633	348329
634	348921
635	351054
636	351585
637	352027
638	352335
639	354269
640	354917
